name,categories,lat,lng,state,Asian,Chinese,Indo-Pak,Japanese,Korean,Thai,Vietnamese
Yuki Express,Asian Restaurant,30.903403704867735,-84.53757125190016,GA,1,0,0,0,0,0,0
Makan,Asian Restaurant,30.9038,-84.57547,GA,1,0,0,0,0,0,0
Star China Buffet,Chinese Restaurant,30.902764802005024,-84.55416162823212,GA,0,1,0,0,0,0,0
Yuki Express Japanese Restaurant,Japanese Restaurant,30.9037995,-84.5754699,GA,0,0,0,1,0,0,0
Jin's Chinese Buffet,Chinese Restaurant,30.891642177343428,-84.2075430458916,GA,0,1,0,0,0,0,0
No1 China,Chinese Restaurant,30.886484218433413,-84.20522666618554,GA,0,1,0,0,0,0,0
"Yum Yum Express Cairo, Ga",Japanese Restaurant,30.884674072265625,-84.20401763916016,GA,0,0,0,1,0,0,0
Mori Japanese Steakhouse,Japanese Restaurant,30.840985238252618,-83.31828753982037,GA,0,0,0,1,0,0,0
Beijing Cafe,Chinese Restaurant,30.841600659569156,-83.31798184343978,GA,0,1,0,0,0,0,0
Great Wall Chinese Restaurant,Chinese Restaurant,30.870550842017217,-83.28915347402364,GA,0,1,0,0,0,0,0
Super Hibachi Buffet,Asian Restaurant,30.859401076653732,-83.94709162852925,GA,1,0,0,0,0,0,0
Hibachi Express,Japanese Restaurant,30.85323561990341,-83.28023794338453,GA,0,0,0,1,0,0,0
Hunan House,Asian Restaurant,30.84656974368454,-83.31675226259182,GA,1,0,0,0,0,0,0
So.Ho.,Asian Restaurant,30.837947,-83.980286,GA,1,0,0,0,0,0,0
Cup Works,Asian Restaurant,30.906316,-83.263212,GA,1,0,0,0,0,0,0
Wild Wok,Chinese Restaurant,30.84677945893064,-83.30376398842422,GA,0,1,0,0,0,0,0
Royal Buffet,Asian Restaurant,30.881044365249117,-83.28859806060791,GA,1,0,0,0,0,0,0
ichiban japanese steak house,Japanese Restaurant,30.873132848802733,-83.29040566829251,GA,0,0,0,1,0,0,0
Masato Japanese Steakhouse & Sushi Bar,Japanese Restaurant,30.846580452266174,-83.31070626338209,GA,0,0,0,1,0,0,0
Panda Express,Chinese Restaurant,30.83878704525095,-83.31980702463287,GA,0,1,0,0,0,0,0
China Buffet,Chinese Restaurant,30.849663445584547,-83.95041704177856,GA,0,1,0,0,0,0,0
Keiko's,Chinese Restaurant,30.785284557858958,-83.569562322118,GA,0,1,0,0,0,0,0
Peking Chinese Resturant,Chinese Restaurant,30.88368596456875,-83.29092459117632,GA,0,1,0,0,0,0,0
Mandarin Express,Chinese Restaurant,30.84353727890438,-83.32030830505757,GA,0,1,0,0,0,0,0
China Wok II,Chinese Restaurant,30.859808623230663,-83.2797128388477,GA,0,1,0,0,0,0,0
Hong Yip Chinese Cuisine,Chinese Restaurant,30.838409633333335,-83.97916793333333,GA,0,1,0,0,0,0,0
Garden Cafe,Chinese Restaurant,30.86546471494179,-83.28492712081471,GA,0,1,0,0,0,0,0
Hibachi Grill & Buffet,Chinese Restaurant,30.850253105163574,-83.31937326666667,GA,0,1,0,0,0,0,0
China Garden Chinese Restaurant,Chinese Restaurant,30.892907958207317,-83.32788705825806,GA,0,1,0,0,0,0,0
Ming's,Chinese Restaurant,30.8362,-83.282032,GA,0,1,0,0,0,0,0
China 1,Chinese Restaurant,30.989532,-83.371824,GA,0,1,0,0,0,0,0
