name,categories,lat,lng,state,s_asia
Jazz Table,Indian Restaurant,30.83518,-83.325075,GA,1
Passage  2India,Indian Restaurant,30.871033395009103,-83.28980141400802,GA,1
Tandoor,Indian Restaurant,30.844593612780745,-83.3325466893169,GA,1
Blakes Kitchen Table,Indian Restaurant,30.919343669645155,-83.36174440009094,GA,1
Taste of India,Indian Restaurant,30.86692138401822,-83.29548501182333,Georgia,1
Bombay Grill,Indian Restaurant,31.631525784993748,-84.17548152624491,Georgia,1
Peacock Grill,Indian Restaurant,31.6158,-84.2237,GA,1
Bombay Bay,Indian Restaurant,32.55660471558373,-84.94412237285708,GA,1
Taste Of India,Indian Restaurant,32.521711,-84.959461,GA,1
Double D Fast Foods,Indian Restaurant,32.05931,-84.20492,GA,1
Curry Mantra,Indian Restaurant,32.614965211874264,-83.69754782690738,GA,1
Metropolis Grill,Indian Restaurant,32.55384791654597,-83.66838093496446,GA,1
Shahenshah Cuisine of India,Indian Restaurant,32.61861,-83.63913,GA,1
Peach County Ga,Indian Restaurant,32.636202406133485,-83.7521420954378,GA,1
Kali Mirck,Indian Restaurant,32.566762,-82.448916,GA,1
Taste of India,Indian Restaurant,32.001975021620986,-81.11171931533013,GA,1
Pakwan Indian Cuisine,Indian Restaurant,32.011198342510994,-81.11380721054722,GA,1
Naan Appetit,Indian Restaurant,32.122683834772516,-81.26351094697947,GA,1
Pak Wan,Indian Restaurant,32.00198287,-81.11758205,GA,1
Pakwan,Indian Restaurant,31.924463,-81.327913,GA,1
Naan,Indian Restaurant,32.078583,-81.09031,GA,1
Shivam Indian Grocery,Indian Restaurant,31.999549664748148,-81.12474916674276,GA,1
sk8 wings,Indian Restaurant,32.14921815911848,-81.24986930458594,GA,1
Himalayan Curry Kitchen,Indian Restaurant,31.947132,-81.31036,GA,1
Khalifa,Indian Restaurant,33.451025003630456,-84.45654836093479,GA,1
STAR OF INDIA,Indian Restaurant,33.398566066766065,-84.59077835083008,GA,1
Khalifa Indian Restaurant,Indian Restaurant,33.4509961,-84.4550612,GA,1
Indian Oven,Indian Restaurant,33.450251,-84.506472,GA,1
Masala Cottage,Indian Restaurant,33.409075,-84.164478,GA,1
Rasoi Indian Kitchen,Indian Restaurant,33.403552,-84.707003,GA,1
Dida's Orchard,Indian Sweet Shop,33.379082204463096,-84.79228734970093,GA,1
Taj Indian Restaurant,Indian Restaurant,32.810549813490255,-83.71989704967744,GA,1
Bombay City,Indian Restaurant,32.79411111485305,-83.69595050811768,GA,1
Little India,Indian Restaurant,32.83468,-83.62635,GA,1
Tasty Curry,Indian Restaurant,33.74375083717059,-84.43806955519509,GA,1
Chai Pani,Indian Restaurant,33.7754077404441,-84.30267725424126,GA,1
Zyka,Indian Restaurant,33.797012849988604,-84.28360026363013,GA,1
Cafe Bombay,Indian Restaurant,33.828410034084335,-84.32698134013296,GA,1
Masti Fun Indian Street Eats,Indian Restaurant,33.8145391,-84.31117119999999,GA,1
Tabla,Indian Restaurant,33.78453114744115,-84.38506684996106,GA,1
Niramish Fine Indian Dining,Indian Restaurant,33.76484854085184,-84.3500648103109,GA,1
Botiwalla,Indian Restaurant,33.77331387225489,-84.36592365940592,GA,1
NaanStop,Indian Restaurant,33.755792460006006,-84.38927438016196,GA,1
Chat Patti,Indian Restaurant,33.79712583861717,-84.28107730527763,GA,1
Cherians,Food & Drink Shop,33.798994309661424,-84.27880482226827,GA,1
