name,categories,lat,lng,state,cluster,color,X,Y
Yuki Express,Asian Restaurant,30.903403704867735,-84.53757125190016,GA,3,purple,2132.3348556358737,-4269.1473482209585
Makan,Asian Restaurant,30.9038,-84.57547,GA,3,purple,2132.3622,-4271.061235
Jin's Chinese Buffet,Chinese Restaurant,30.891642177343428,-84.2075430458916,GA,3,purple,2131.5233102366965,-4252.480923817526
Star China Buffet,Chinese Restaurant,30.902764802005024,-84.55416162823212,GA,3,purple,2132.2907713383465,-4269.985162225722
No1 China,Chinese Restaurant,30.886484218433413,-84.20522666618554,GA,3,purple,2131.1674110719055,-4252.36394664237
"Yum Yum Express Cairo, Ga",Japanese Restaurant,30.884674072265625,-84.20401763916016,GA,3,purple,2131.042510986328,-4252.302890777588
Yuki Express Japanese Restaurant,Japanese Restaurant,30.9037995,-84.5754699,GA,3,purple,2132.3621655,-4271.06122995
Super Hibachi Buffet,Asian Restaurant,30.859401076653732,-83.94709162852925,GA,3,purple,2129.2986742891076,-4239.328127240728
So.Ho.,Asian Restaurant,30.837947,-83.980286,GA,3,purple,2127.818343,-4241.004443000001
China Buffet,Chinese Restaurant,30.849663445584547,-83.95041704177856,GA,3,purple,2128.6267777453336,-4239.4960606098175
Hong Yip Chinese Cuisine,Chinese Restaurant,30.838409633333335,-83.97916793333333,GA,3,purple,2127.8502647,-4240.947980633333
Yummi Express,Japanese Restaurant,30.85645181319163,-83.95245349026321,GA,3,purple,2129.0951751102225,-4239.598901258292
Masato Express,Japanese Restaurant,30.851591219630993,-83.94912938521641,GA,3,purple,2128.7597941545387,-4239.431033953429
Mosato's,Japanese Restaurant,30.851486206054688,-83.9488296508789,GA,3,purple,2128.7525482177734,-4239.415897369385
Osaka Hibachi & Sushi,Japanese Restaurant,30.83805006004257,-83.9463688166637,GA,3,purple,2127.8254541429374,-4239.291625241517
Mori Japanese Steakhouse,Japanese Restaurant,30.840985238252618,-83.31828753982037,GA,3,purple,2128.0279814394307,-4207.573520760929
Beijing Cafe,Chinese Restaurant,30.841600659569156,-83.31798184343978,GA,3,purple,2128.070445510272,-4207.558083093709
Great Wall Chinese Restaurant,Chinese Restaurant,30.870550842017217,-83.28915347402364,GA,3,purple,2130.068008099188,-4206.102250438194
